Page URL,Brand,Name,SKU,Out stock status,Currency,ccc,Price,Manufacturer,Main image,Description,Product ID,Additional Information,Meta description,Meta title,Old Price,Equivalency Weights,Quantity,Weight,Option,Option type,Option Value,Option image,Option price prefix,Cat tree 1 parent,Cat tree 1 level 1,Cat tree 1 level 2,Cat tree 2 parent,Cat tree 2 level 1,Cat tree 2 level 2,Cat tree 2 level 3,Image 2,Image 3,Image 4,Image 5,Sort order,Attribute 1,Attribute Value 1,Attribute 2,Attribute value 2,Attribute 3,Attribute value 3,Attribute 4,Attribute value 4,Reviews,Review link,Rating,Address,p_id
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605241882&variant=540831596,Stigma Grow,Dab Bods Sativa Shatter - Sativa 0.5 g Shatter,605241882,10,CAD,,22.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_1.png?dpr=1&w=490&fit=fillmax,"Dab Bods shatter offers a high-quality hydrocarbon cannabis concentrate with impressive cannabanoid potencies up to 80 per cent and a translucent, glass-like consistency that is easy to dab vape or add to dry flower. Ideal for those who are new to dabbing, or looking for a high-value offering that doesn't skimp on the THC, this sativa-heavy extract is priced and positioned to appeal to those who want the very best on a budget.",605241882,,,,,,1,each,,,,,,Concentrate,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_1.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.37mg,THC,80mg,Product Type,Concentrate,,,,,,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605241853&variant=540831601,Stigma Grow,Dab Bods Indica Shatter - Indica 0.5 g Shatter,605241853,10,CAD,,22.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=1&w=490&fit=fillmax,"Dab Bods shatter offers a high-quality hydrocarbon cannabis concentrate with impressive cannabanoid potencies up to 80 per cent and a translucent, glass-like consistency that is easy to dab vape or add to dry flower. Ideal for those who are new to dabbing, or looking for a high-value offering that doesn't skimp on the THC, this indica-heavy extract is priced and positioned to appeal to those who want the very best on a budget.",605241853,,,,,,1,each,,,,,,Concentrate,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.15mg,THC,70.5mg,Product Type,Concentrate,,,,,,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=604985523&variant=471375418,Candre Cannabis Inc.,RGB Black Sero'Q Pre-Rolls - Black Sero'Q 10 x 0.35g Pre-Rolls,604985523,10,CAD,,44.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Our line of hybrid cannabis ('black line') products features high-potency THC and is curated for every day consumers searching for high potency and exceptional value. A full-spectrum product featuring variable ancestry and terpenes, casual users will marvel at its ferocity and high tolerance users will lean on its hearty strength. Sero'Q is a rare and high-THC strain celebrated for the dainty crystals that decorate the plant from tip to stem. Toss out the curtains; this densely packed indica will help close out the day and tuck you in tight with smells of lavender, blueberry, grape and fuel.",604985523,,,,,,1,1pc,,,,,,PreRoll,Hybrid,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.6mg,THC,19.1mg,Product Type,PreRoll,,,57,,4.736842105263158,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=604985622&variant=488636632,Candre Cannabis Inc.,Violet Tourist Mini J's Pink OG - Mini J's Pink OG 10 x 0.35 g Pre-rolls,604985622,3,CAD,,34.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Brought to you buy the BRNT Group, Violet Tourist's Pink OG is a high potency Pink Kush whose lineage is historically mysterious but is rumoured to be a descendant of OG Kush. This indica-dominant flower features delicate shades of violet and pink pistils on a background of vibrant green. This popular cultivar balances delicate floral notes with rich vanilla and punchy sweet berry flavours and aroma. Pink OG delivers a delicate yet powerful experience with a twist. These 10 packs of .35 Mini Js deliver this cultivar in a convenient and simple pre-roll that is perfect for sharing and quick hits.",604985622,,,,,,1,1pc,,,,,,PreRoll,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.5mg,THC,20.9mg,Product Type,PreRoll,,,,,,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=604985078&variant=516679640,Candre Cannabis Inc.,Violet Tourist Superflower Black Cherry Punch - VT Superflower Black Cherry Punch 3.5g Dried Flower,604985078,10,CAD,,34.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_flower_1.png?dpr=1&w=490&fit=fillmax,"Brought to you by the BRNT Group, Violet Tourist's Black Cherry Punch is a high-potency, terpene-rich indica-dominant flower that features visually stunning violet tones with a piercing aroma of fruit, subtle floral background notes and earthy nuances.
",604985078,,,,,,3.5,3.5g,,,,,,Flower,Hybrid,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_flower_1.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.6mg,THC,21.4mg,Product Type,Flower,,,11,,4.545454545454546,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=604985152&variant=471375292,Candre Cannabis Inc.,QOB Blue Topaz Slurricane - Blue Topaz Slurricane 3.5 g Dried Flower,604985152,4,CAD,,37.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_flower_1.png?dpr=1&w=490&fit=fillmax,"Slurricane IX is a glorious 80-20 indica from In-House Genetics, with a very rich history. It's the result of combining Slurricane Pheno #7, known for its intense frosty qualities, with Slurricane Pheno #44, reputably the most flavourful! A cross between Do-Si-Dos (OG Kush Breath and Face Off OG) and Purple Punch (Larry OG and Granddaddy Purple), these buds grow with beautifully dark fan leaves, deep purple tones and bright orange pistils. These sparkling buds are known for their creamy caramel coffee, grassy and sweet scents. The flavour resembles a lavender honey milkshake that hits you in your chest before gradually moving up to your eyes. We hang dry and hand trim all our top colas before our highly trained staff (who are fellow consumers) delicately hand pack them locally in Sundre, AB, to ensure our customers receive our most beautiful buds. 
",604985152,,,,,,3.5,3.5g,,,,,,Flower,Indica,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_flower_1.png?dpr=3&w=490&fit=fillmax,,,,,CBD,10mg,THC,19.01mg,Product Type,Flower,,,194,,4.597938144329897,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=604985513&variant=488636602,Candre Cannabis Inc.,Queen Of Bud Blue Topaz Kalifornia - Blue Topaz Kalifornia 2 x 0.5g Pre-rolls,604985513,10,CAD,,16.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Kalifornia from Bodhi Seeds has roots that stem all the way back to an unknown Afghani landrace. A cross between Nepali Og (Nepali and OG Kush) and 88 G-13 Hashplant (Hashplant and G13; Mr nice), this heavy hitting, high THC, 60-40 indica-dominant flower creates dense emerald green buds shaped like Christmas trees. With its rusty orange pistils and a thick covering of trichomes, Kalifornia should delight you with light notes of citrus from its limonene content, but finish strong with the dominant terpene myrcene, giving strong hoppy, licorice and herbal overtones. These two 0.5g pre-rolls are hand finished by our highly trained staff (who are fellow consumers) in Sundre, AB, using Konehedz cones and filters and gently placed in their packaging for minimal agitation. ",604985513,,,,,,1,1pc,,,,,,PreRoll,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,NoneNone,THC,26mg,Product Type,PreRoll,,,,,,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605241943&variant=488636619,Candre Cannabis Inc.,Violet Tourist Mini J's Black Cherry Punch - Mini J's Black Cherry Punch 5 x 0.35 Pre-Rolls,605241943,10,CAD,,18.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Brought to you by the BRNT Group, Violet Tourist's Black Cherry Punch is a high-potency, terpene-rich indica-dominant flower that features visually stunning violet tones, with a piercing aroma of fruit, subtle floral background notes and earthy nuances. These five-packs of 0.35g Mini Js deliver this cultivar in convenient and simple pre-rolls that are perfect for sharing and quick hits.
",605241943,,,,,,1,1pc,,,,,,PreRoll,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.5mg,THC,19.9mg,Product Type,PreRoll,,,,,,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605004095&variant=527712613,Stigma Grow,White NGL Purple Punch Live Resin Vape Cartridge - White NGL Purple Punch Live Resin 0.5 g Prefilled Vape Cartridge,605004095,10,CAD,,32.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=1&w=490&fit=fillmax,"Not to be confused with distillates that lack the potent impact of the entourage effect, White NGL's Live-Resin cartridges are jam-packed with the original cannabinoid, flavonoid and terpenes of recognized fresh-frozen indica strain. In addition to preserving and celebrating these mouth-watering, all-natural, full-spectrum profiles, our patented hydrocarbon extraction process offers unmatched consistency, purity and potency -- conveniently stored in a 510 threaded cartridge. Compatible with 510 thread devices. Device not included.",605004095,,,,,,1,1pc,,,,,,Cartridge,Indica,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=3&w=490&fit=fillmax,,,,,CBD,5.62mg,THC,73.4mg,Product Type,Cartridge,,,1200,,4.575833333333334,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605790314&variant=527712608,Stigma Grow, BLACK NGL SOUR GRAPE LIVE RESIN VAPE CARTRIDGE - Black NGL Sour Grape Live Resin 0.5 g Prefilled Vape Cartridge,605790314,10,CAD,,32.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=1&w=490&fit=fillmax,"Not to be confused with distillates that lack the potent impact of the entourage effect, Black NGL's Live-Resin cartridges are jam-packed with the original cannabinoid, flavonoid and terpenes of your favourite fresh-frozen sativa strain. In addition to preserving and celebrating these mouth-watering, all-natural, full-spectrum profiles, our patented hydrocarbon extraction process offers unmatched consistency, purity and potency -- conveniently stored in a 510 threaded cartridge. Compatible with 510 thread devices. Device not included.",605790314,,,,,,1,1pc,,,,,,Cartridge,Hybrid,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.37mg,THC,87.9mg,Product Type,Cartridge,,,203,,4.236453201970443,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605003965&variant=475434492,Stigma Grow,Black NGL Zweet Inzanity Live Resin Vape Cartridge - Black NGL Zweet Inzanity Live Resin 0.5 g Prefilled Vape Cartridge,605003965,5,CAD,,32.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=1&w=490&fit=fillmax,"Not to be confused with distillates that lack the potent impact of the entourage effect, Black NGL's Live-Resin cartridges are jam-packed with the original cannabinoid, flavonoid and terpenes of your favourite fresh-frozen sativa strain. In addition to preserving and celebrating these mouth-watering, all-natural, full-spectrum profiles, our patented hydrocarbon extraction process offers unmatched consistency, purity and potency -- conveniently stored in a 510 threaded cartridge. Compatible with 510 thread devices. Device not included.",605003965,,,,,,1,1pc,,,,,,Cartridge,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=3&w=490&fit=fillmax,,,,,CBD,0.15mg,THC,70.9mg,Product Type,Cartridge,,,3,,5,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605796792&variant=527712600,Stigma Grow,White NGL Banana Punch Live Resin 0.5 g Prefilled Vape Cartridge - White NGL Banana Punch Live Resin 0.5 g Prefilled Vape Cartridge,605796792,10,CAD,,34.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=1&w=490&fit=fillmax,"Not to be confused with distillates that lack the potent impact of the entourage effect, White NGL's Live-Resin cartridges are jam-packed with the original cannabinoid, flavonoid and terpenes of recognized fresh-frozen indica strain. In addition to preserving and celebrating these mouth-watering, all-natural, full-spectrum profiles, our patented hydrocarbon extraction process offers unmatched consistency, purity and potency -- conveniently stored in a 510 threaded cartridge. Compatible with 510 thread devices. Device not included.
",605796792,,,,,,1,1pc,,,,,,Cartridge,Hybrid,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=3&w=490&fit=fillmax,,,,,CBD,10mg,THC,800mg,Product Type,Cartridge,,,57,,4.56140350877193,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=604985516&variant=471375415,Candre Cannabis Inc.,QOB Blue Topaz Slurricane Pre-Rolls - Blue Topaz Slurricane 2 x 0.5g Pre-rolls,604985516,4,CAD,,12.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Slurricane IX is a glorious 80-20 indica from In-House Genetics, with a very rich history. It's the result of combining Slurricane Pheno #7, known for its intense frosty qualities with Slurricane Pheno #44, reputably the most flavorful! A cross between Do-Si-Dos (OG Kush Breath and Face Off OG) and Purple Punch (Larry OG and Granddaddy Purple), these buds grow with beautifully dark fan leaves, deep purple tones and bright orange pistils. These sparkling buds are known for their creamy caramel coffee, grassy and sweet scents. The flavour resembles a lavender honey milkshake that hits you in your chest before gradually moving up to your eyes. These two 0.5g pre-rolls use Konehedz cones and filters, and are hand finished by our highly trained staff (who are fellow consumers) in Sundre, AB. They're gently placed in their packaging for minimal agitation. All Slurricane product is grown, harvested and processed with precision in our state-of-the-art purpose-built facility.
",604985516,,,,,,1,1pc,,,,,,PreRoll,Indica,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,10mg,THC,15.4mg,Product Type,PreRoll,,,194,,4.597938144329897,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605004568&variant=475434460,Candre Cannabis Inc.,QOB Rose Quartz - Rosetta Stone - Rosetta Stone  2 x 0.5g Pre-rolls,605004568,5,CAD,,12.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Rosetta Stone is a large and vigorous plant that combines the genetics of Jack Herer and P75. Bred by Brothers Grimm Seeds and adjusted for superior resin production and increased yield, Rosetta Stone grows with well sparkled, bright, spear-like colas. Our phenotype grew with floral, lemon, citrus, herbal and spice notes and was terpinolene dominant, reminiscent of the old school Colombian Gold. These two 0.5g pre-rolls are hand finished by our highly trained staff (who are fellow consumers) in Sundre, AB, using Konehedz cones and filters and gently placed in their packaging for minimal agitation.",605004568,,,,,,1,1pc,,,,,,PreRoll,Hybrid,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,10mg,THC,17.3mg,Product Type,PreRoll,,,0,,0,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
https://www.leafly.com/dispensary-info/lake-city-cannabis?menuItem=605241964&variant=488636664,Candre Cannabis Inc.,Queen Of Bud Shungite - Garlic Kush Pre-Rolls - Shungite - Garlic Kush  2 x 0.5g Pre-rolls,605241964,10,CAD,,14.99,Lake City Cannabis,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Garlic Kush is the unique, high-THC and high-terpene (more than three per cent) result of combining the cultivars GMO (Garlic Cookies) and OZ Kush from Dark Horse genetics. This pungent bud grows with lighter olive-green hues and goldfish-orange like pistils. These buds have a delicious and funky aroma to them that is a mix of earthy, savoury and spicy, providing a 60-to-40 indica leaning experience. These two 0.5g pre-rolls are hand finished by our highly trained staff (who are fellow consumers) in Sundre, AB, using Konehedz cones and filters, and gently placed in their packaging for minimal agitation.",605241964,,,,,,1,1pc,,,,,,PreRoll,Indica,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,NoneNone,THC,25.6mg,Product Type,PreRoll,,,543,,4.368324125230203,"E Chestermere Dr 109East ChestermereChestermere, AB T1X 1A1",304388
